English,Chinese
part,部分
history,歷史
search,搜尋
only,僅有的
police,警察
thought,想法
help,幫助
request,要求
kind,種類
month,月
brother,兄弟
let,讓
because,因為
to put,放
no,不
leash,皮帶
them,他們
city,城市
each,每個
speak,說話
come,來
should,應該
baby,嬰兒
long time,很久
hours,小時
will,將要
while,儘管
meet again,再次見面
any,任何
square,方塊
speak,說話
understood,明白了
knew,知道
were,是
Warning,警告
here is,這是
could,可以
case,案件
give,給
type,類型
their,他們的
given,給定
train,火車
body,身體
place,地方
eyes,眼睛
way,方式
listen,聽
whose,誰
find,尋找
first,第一的
lost,遺失的
hand,手
first,第一的
side,邊
power,力量
old,老的
be,是
here,這裡
morning,早晨
so much,這麼多
child,孩子
point,觀點
came,來了
after,後
sorry,對不起
come,來
in front of,在...前面
towards,向
minutes,分分鐘
request,要求
bedroom,臥室
placed,放置
beautiful,美麗的
law,法律
would like to,想要
today,今天
husband,丈夫
cause,原因
finally,最後
hope,希望
water,水
Wait,等待
left,左邊
new,新的
job,工作
Stop,停止
would say,會說
Earth,地球
account,帳戶
given,給定
far,遠的
end,結尾
believe,相信
sweetheart,親愛的
large,大的
rather,相當
will have,將會有
girls,女孩們
to play,玩
office,辦公室
